reference_number,category,name,control,,hazard_control_method,risk
572,Office,Electric shock,"Do not overload sockets, switch power off at the outlet before removing appliances. Do not use faulty appliances.",,Eliminate,
573,Office,"Wet areas - kitchen, toilet etc",Clear spillages immediately - contact PF Olsen if you cannot control the hazard.,,Isolate,
574,Office,Slippery entrance ways - wet weather,"Walk slowly, do not over carry, maintain clear vision, ask for help.",,Minimise,
575,Office,Vehicles and pedestrians,"Drive slowly and, before proceeding, make sure the way is clear. Do not stand or walk in areas of poor visibility.",,Minimise,
317,Office,Stairs,"Take one step at a time, do not run and use banister if necessary. Be wary of wet or slippery stairs, warn other users if this occurs.",,Minimise,
53,Overgrowth,Holes and dropouts in roads,When opening up overgrown roads operators need to be careful that they do not fall into holes or drive over banks due to obscuredvision. Always operate machine as if there is a hazard immediately ahead.If unsure get out of machine and walk block.Be sure to keep machine on firm stable ground and have an escape plan in case of emergency.,,Minimise,
57,Overgrowth,Holes and dropouts in roads,"All machine operators to get out and walk roads where overgrowth prevents good visibility, mark danger spots with paint or tape.
Where possible work up hill, this will make it easier to back out of a dropout should this be possible. Always wear a seatbelt. Keep
away from road verges and berms if at all unsure.",,Isolate,
319,Overgrowth,Lack of vision when operating machine,Operators to walk block or track if unsure. Mark potential hazards.,,Isolate,
32,Overhead Hazards,"Power lines, trees",Be aware of overhead hazards. Check logging plan for hazards. Keep all booms and implements close to the ground when moving.including powerlines/hung up trees.Stay alert and observant when operating.Keep at least 5m away from all OH lines.Always move machines with all booms etc lowered as far as possible.,,Isolate,
147,Planning and Survey,Cutting undergrowth with a slasher,"Be aware of footing before cutting. Extra care needed on wet conditions. Beware of what you are cutting before you cut. Do not over
reach on cut.",,Isolate,
143,Planning and Survey,Slipping on logging debris,Wear spiked boots.,,Minimise,
140,Planning and Survey,Spray Paint,Spray away from body. Do not spray into wind. Use non toxic paint.,,Minimise,
144,Planning and Survey,Thick Undergrowth,Wear safety glasses.,,Minimise,
146,Planning and Survey,Windy Conditions,"High winds increase chance of trees being blown over. In extreme conditions do not enter forest and stay well clear of standing
trees. Always wear a hard hat and be aware of falling pine cones.",,Minimise,
145,Planning and Survey,Working alone,"Carry and use portable radio. Communicate intentions with company office and forest owner. Do not take any risks.File detailed plan with responsible person / coordinator. Contact on entry and exit from work site at no less than daily basis. Haveand maintain communications equipment - radio, cell phone, and/ or personal locator beacon, preferably more than one. Work withmore than one person where practicable.Disorientation - i.e. Bad weather – untracked areas, Broken terrain & poor visibility. Ensure parties equipped with appropriate mapsand photographs.Carry compass or compass and GPS, Ensure adequate batteries for GPSEnsure all equipment checked and in full and proper operating condition.Ensure communications and work / travel plans maintained as for remote situation. Include “overdue employee” procedureEnsure employees have no medical conditions that may make them unsuitable for working alone. Consider routine work andforeseeable emergencies.Train employees in safe work practises and emergency procedures including alternative exit routes.Ensure proper first aid and safety equipment carried.",,Minimise,
373,Quarrying,Digger working on a bench above trucks.,"Bench could collapse and digger fall down/roll over. Operator to ensure bench is wide enough for machine to slew without rubbing
back. Always wear seatbelt.",,Minimise,
353,Roading,Adjacent Landowners,"Where operational areas border onto adjacent landowners, operators are to be especially careful that they do not push slash, direct
water, destroy fences or in any other way interfere with land outside of their direct operational area.
If unsure of boundary location, ask supervisor.",,Isolate,
351,Roading,Cutover Hazards,"Within old cutover there is often old rope, old stumps, buried oil, fences and sharp wire and fuel canisters.
of the potential hazards posed by this and to exercise caution when working in thinning blocks.",All operators to be aware,Isolate,
369,Roading,Farming Operations.,"Hazards include other road users on motorbikes and horses, stock, tractors, stock trucks with no RTs. Always drive to the
conditions and do not rely on radios. Drive with courtesy for stock. Keep communication levels going with farm management.
Leave all gates as found.",,Minimise,
3,Roading,Visibility/communication,Put in place good simple systems and signal.Be aware of your workmates and where they are.Fit mirrors.Ensure all crew members are clear of the logs you are moving before moving logs.Stand clear of the logs as fleeting machine is moving plus those logs which may move as a result of nearby logs being moved.Wear high visibility gear.Use separate skids where practical.,,Minimise,
370,Roading,Main Highway Entrance/Exit.,"Vehicles entering and leaving the forest do so onto a main arterial highway. Hazards include speeding traffic, overtaking traffic, sun
in eyes. Always come to a complete stop and check both ways before pulling onto the highway.",,Eliminate,
355,Roading,Roadside Working,"Take extreme care when entering or leaving a block onto a main road. All vehicles to come to a complete stop and look both ways.
If within the roadside verge appropriate signage is required to be displayed. Where a transporter cannot get off the road, a pilot
vehicle and flagman is required to warn oncoming traffic of the hazard as the machine is loaded/unloaded.",,Eliminate,
356,Roading,Streamside Operations,"Operators to be aware of the location of flowing water and to ensure that all operations are carried out so as to not allow sediment or
slash to enter waterways.",,Minimise,
368,Roading,Water pipes and other buried services,"Where there is the possibility of buried services, cable locators to be used or farmers asked to locate and mark electric
fences/pipes. If in doubt leave the area in question.",,Isolate,
58,Roading,Workers working alone,"Operators working alone are to do so as per the written policy on working alone found in the RHH health and safety policy.Have a cell phone and vehicle with R/T.Give a contact person an ETA at home.Assess the job requirement and if necessary use extra help.Ensure that spouses and partners have several contact names/numbers to ring in case a worker does not come home.Workers to call into Dispatch or the forest companies office when entering and leaving the bush, be sure to give your location andexpected time of departure where applicable.All other workers to ensure at the end of the day that everybody is safe.",,Minimise,
552,Shovel Logging Hazards,Branches entering the operators cab,"Ensure that all grills and guards are in place and in good condition and that all windows/doors are closed while the machine is in
operation. Operator to be aware when working close to trees.",,Minimise,
547,Shovel Logging Hazards,Broken branches falling - pushing over trees,"Always ensure that other people are in the clear when placing the boom/bucket/grapple against a tree. Where possible, remove any
damaged material that is likely to fall while the tree faller is cutting the tree.",,Eliminate,
553,Shovel Logging Hazards,Excavator lifting trailers,"All lifting equipment must be in good condition and suitable for the job i.e. chains and fittings of the correct strength, size and length.
Before lifting all persons are to be clear of the danger area and nobody is allowed under the raised hydraulic equipment under
pressure (refer to unloading trailers in the loading section of the Hazards and Controls list).",,Isolate,
548,Shovel Logging Hazards,Excavator shifting logs,"The wing area and beyond is the danger zone. Avoid entering the working area. Any person or machinery in the vicinity of anexcavator shovel logging could be at risk of being hit by a log, or from flying broken branches or tops, etc. If you need to enter theworking area of the excavator then always ensure that eye contact or radio communication has been made with the operator beforemoving in. No person or other machinery is to work below the excavator while it is in operation. In all other situations, ensure that allpersons and other machinery are outside the full working radius of the excavator while it is in operation. Direction and location oftracks and direction of travel in relation to control levels can be opposite – If operator is not switched on. Note: Have drive motorsup. Avoid double handling through good planning. Watch out for bottle necks; do not cut off your escape route.",,Isolate,
545,Shovel Logging Hazards,General,"Before starting work check the area to be worked and ensure that a good communication system is put in place with all persons andall other machine operators working in or near the area. Where possible, use radio communication between machine operators andother workers always remember that visibility from the excavator is limited (blind spot – right side). If you need to enter the workingarea of the excavator then, always ensure that eye contact or radio communication has been made with the operator before movingin. Make sure that other people coming to watch the excavator are well supervised and kept outside the working area. Ensure all",,Eliminate,
551,Shovel Logging Hazards,Logs being pulled into operators cab,"Always be aware of a log suddenly coming free when it is being pulled under tension towards the machine. Change the direction of
pull when close to the front of the machine.",,Eliminate,
549,Shovel Logging Hazards,Logs sliding when disturbed on slopes,"Do not work directly underneath any unstable logs. Always be alert for possible log movement. Make sure that there are no other
operations in the danger area. Select logs that won’t affect others.",,Isolate,
550,Shovel Logging Hazards,Long length logs swinging,"Always observe the two tree length rule as a minimum. Machine operators should always know where people or other machines are
situated that are working near the excavator.",,Eliminate,
546,Shovel Logging Hazards,Machine stability on slopes,"Operate the machine within your own level of training and skill. Do not push the machine beyond its capabilities or the conditions –
Stop and move to a safer area if the conditions become too difficult to work safely. Machine stability can be affected when handling
trees on slopes – therefore extra care is required to ensure the machine is stable before picking up or moving any log. Be aware of
terrain, high stumps, unstable areas, other obstacles and unseen traps.",,Eliminate,
474,Skidder/Tractor Hazards,Back strain,"Be aware back strain is a common problem with skidder and tractor operations. If you notice some discomfort in your back, see your
doctor. Use ergonomically designed seats. Take regular rest breaks and employ job rotation if possible. Do not – jump off any
machine when exiting the cab. Maintain a regular exercise programme to strengthen the back muscles.",,Minimise,
476,Skidder/Tractor Hazards,Chains and ropes,"When logs are being winches in, the ropes and chains can be under enormous tension. Make sure the cab protection is in good
order. Make sure communication between the driver and the breaker out is effective. Keep ropes and chains in good order and
replace regularly. Do not overload the machine or rope etc.",,Eliminate,
482,Skidder/Tractor Hazards,Down hill pulling,"Down hill pulling is invariably faster, and with speed and slope there is always less control of both machine and logs. Ensure the cab
is of an approved design. Fit bars across the back. On steep slopes select a lower gear. Be ready to release the rope if the drag
goes past the machine. Have a long rope and pick the route with care.",,Minimise,
477,Skidder/Tractor Hazards,Foreign objects,"These can be branches or slash or skidder/tractor has to drive past, or they can be flicked from the tyres or tracks. Ensure the cab
protective structures are well maintained. If necessary, clear the track on the return journey to the felling face.",,Eliminate,
479,Skidder/Tractor Hazards,Long stropped logs,"If a log is stropped too far back from the end of the log it can catch on stumps etc, and swing violently out to one side. Strop up
within one metre of the end. Re-strop any long stropped log as soon as possible.",,Eliminate,
473,Skidder/Tractor Hazards,Machine fire,"Keep machine clear of soil and debris. Avoid driving with the park brake on. Keep fire extinguishers in good working order. Fix any
fuel or oil leaks. Have the machine regularly washed.",,Eliminate,
480,Skidder/Tractor Hazards,Machine stability,"Skidders, tractors etc, are stable machines, however, they will still tip over if the terrain is difficult and/or they are badly operated.
Ensure the operator receives adequate instruction. Drive to the conditions. Drive within your own level of training and skill. Drive
within the machines operating limits. Walk the block first to be sure about obstacles and terrain. Carefully plan extraction routes in
difficult terrain. Wear a seatbelt. Use tracking on steeper slopes. The best protection for roll over is to prevent it happening.",,Minimise,
481,Skidder/Tractor Hazards,Moving skidder/tractor,Ensure adequate training and instruction. Raise the blade before moving. Wear a seat belt.,,Minimise,
475,Skidder/Tractor Hazards,Objects in the cab,"When a skidder/tractor moves over rough terrain the cab inevitably gets shaken, at times quite vigorously. Insecure objects can
become a hazard if they are thrown around. Secure all objects. Do not carry anything likely to be a hazard to the operator.",,Eliminate,
478,Skidder/Tractor Hazards,Poorly felled trees,"Trees are still attached to the stump, or felled in a poor direction cause tree movements, when pulled, to be unpredictable and
dangerous. Be aware and watch for these two problems. Cut trees off at the stump. Advise fallers to fell trees properly.",,Eliminate,
471,Skidder/Tractor Hazards,Stumps and obstacles,"Walk the block first to identify obstacles and hazards. Mark obscured hazards (e.g. with coloured tape, or spray paint). Plan
extraction routes. Do not overload the machine, load to the conditions. Wear a seatbelt.",,Isolate,
472,Skidder/Tractor Hazards,Wet weather,"Avoid the steeper difficult areas during wet weather. If conditions get too difficult, stop.",,Eliminate,
131,Transport of Tools/Fuel/Plant,Fuel Trailer,Take extreme care towing a trailer tank as they are heavy and can affect the handling of your vehicle.,,Eliminate,
138,Transport of Tools/Fuel/Plant,Fuels,"Fuels must be carried in separate self contained compartment of a vehicle or on a deck or trailer. Fuel containers should be clearly
marked as such. Fuels must be carried in approved containers.",,Eliminate,
130,Transport of Tools/Fuel/Plant,Plant and Trailers,"Ensure that any plant that requires towing i.e. Trailers, diesel tankers, welders, spray tanks, fire trailers etc are warranted, have
trailer brakes, correct tow ball size, and working lights.",,Eliminate,
128,Transport of Tools/Fuel/Plant,Tools,"Tools must be carried in a separate self contained compartment of a vehicle or on a deck or trailer. Tools must be secured in their
compartment.",,Eliminate,
366,Transporting,Chaining Up.,"Operators can be struck by chains or twitches. Only properly manufactured strong-arms to be used.
do not stand over the top of twitches when tightening. Use twists where possible.",Operators to wear gloves and,Minimise,
364,Transporting,Driver comfort and health.,"Specifically vibration, noise induced hearing loss, and back problems. Drivers to ensure seats are set up properly for maximum
comfort. Noise levels within cabs to be assessed if there is the possibility that it is a problem. Drivers to stretch and exercise
periodically during breaks.",,Eliminate,
363,Transporting,Driver distraction.,"Distraction arises from things such as mobile phones, CBs, eating etc while driving. It can lead to inattention that can result in an
accident. Drivers are to avoid eating/drinking while driving. Use hands free kits where possible for phone use and minimise radio
use, especially on the open road.",,Eliminate,
365,Transporting,Driving plant and equipment onto trailers.,"Machinery can fall off or roll over. Operators are to be trained. Nobody to stand beside trailer while a machine is being loaded.
Seatbelts to be worn at all times while operating machine.",,Minimise,
367,Transporting,Falls and trips from a height,Operators to use 3 point contact method when working at height either entering cabs or chaining up.,Do not jump.,Eliminate,
361,Transporting,Fatigue,"Long driving hours and disrupted sleep patterns (early starts etc) all contribute to fatigue. Factors that lead to fatigue include:
Long periods of awake time, inadequate sleep, inadequate rest breaks, mentally/physically demanding work etc
Plan schedules to maximise rest, ensure adequate rest over the weekend, balance short with long shifts, adequate food, water,
exercise",,Minimise,
362,Transporting,Narrow winding roads/oncoming traffic,"Drivers to keep cabs clean a clear of all loose equipment in case of a rollover.
road edges.","Use radios to call in position, be aware of unstable",Eliminate,
360,Transporting,Stress,"Stress is the result of interaction between a person and their work environment. It arises from things such as poor communication,
Non supportive culture, uncertain role, poor career path, interpersonal conflict or violence. All employees are responsible for
monitoring for signs of stress in other employees as well as informing management if they feel they themselves are under stress or
suffering from stress. Control of this will depend on the source of stress.",,Minimise,
34,Tree and stem Hazards,Hung up trees,Never work under a hung up tree.Do not leave hung up trees unattended.Hung-up trees must be brought down immediately or the area isolated from other activities and workers.Use a machine to pull down hang up if necessary.Drive down if appropriate.Use a felling assistant / observer.No unprotected people within two tree lengths of likely direction of fall.Eliminate,,Eliminate,
20,Tree and stem Hazards,Trees falling in wrong direction,"Use correct techniques.
Have escape route prepared.
Always keep eyes on direction of tree fall.",,Eliminate,
33,Tree and stem Hazards,Weather conditions,"Stop working in heavy wind, rain and thunderstorms.",,Eliminate,
450,Trimming,Back strain,"Repetitive strain injury to back can be a painful and debilitating injury. Where possible walk beside the log. Use the correct trimming
technique (rest the chainsaw of the log). Fell and trim one tree at a time to give your back regular rests. Regularly straighten your
back and lean backwards. Maintain a regular exercise programme to strengthen the back muscles.",,Minimise,
456,Trimming,Bark,"When bark is peeled off, logs become very slippery to walk on. Be aware that the log is slippery. Wear spikes if necessary. Where
possible walk beside the log.",,Minimise,
455,Trimming,Debris,"Debris can be thrown up towards the face. Be aware and position yourself so debris will not hit you and wear practicable eye
protection.",,Minimise,
453,Trimming,Limbs under tension,Be aware these will flick away after being cut – Stand in a safe place. Pull the tree out and trim it on the skid.,,Eliminate,
454,Trimming,Log rolling,"On a steep slope, work on the uphill side of the tree. When the log is sideways on a slope, don’t walk on the log. If the tree is too
finely balanced i.e. it is unsafe to trim, pull it out and trim it on the skid. Be aware the logs can and do move.",,Eliminate,
448,Trimming,Rain,"Rain can make already difficult underfoot conditions worse. Be aware that underfoot conditions become more slippery and greater
care needs to be taken. Wear good boots, with spikes if necessary. Wear wet weather and other suitable clothing.",,Minimise,
452,Trimming,Tree off ground,"Tree or part of the tree is clear off the ground. Do not walk out on a suspended tree. Do not over reach with the chainsaw – maintain
balance and good stance. Pull the tree out and trim on skid. Be aware that logs can and do move. Wear boots with spikes if
necessary.",,Minimise,
449,Trimming,Underfoot conditions,"Conditions underfoot while trimming beside the tree are always hazardous because the chainsaw operator is walking of branches
that have just been trimmed. Lift your feet and look where you are going. Wear good, well fitting boots. Walk only while the chainsaw
is resting on the tree or when you are trimming the far side of the tree. Use the tree as support. Don’t wear clothes or gear that can
easily get caught on obstacles. Clear away debris in front before stepping forward",,Minimise,
451,Trimming,Undergrowth,Always be alert for undergrowth that may be under tension when trimming as it can flick towards the face or body.,,Eliminate,
487,Unstropping Hazards,Approaching skid,"As the machine comes onto the skid, slash is often caught between the logs and can be flung around, or unused strops on the
skidder and may wave around. Slow down and be prepared to stop. Do not approach the machine until it has stopped. Hook unused
strops out of the way.",,Eliminate,
483,Unstropping Hazards,Communication difficulty,"Working around machinery and chainsaws is a noisy environment and people often have restricted fields or vision. Have adequate
training. Establish simple, clear signals. Be aware of other people and machinery on the skid and slow down and be prepared to
stop. Do not winch in, or drive off until you are sure the person unstropping is in the clear. Do not move in to unstrop until the drag
has been dropped, tension is out of the strops and the machine operator gives the ok.",,Eliminate,
484,Unstropping Hazards,Conditions underfoot,"Even on skids the surface can become slippery or covered with sticks. Wear good boots. Ensure you have a good stance before
you begin to unstrop a log. If necessary get the machine operator to clear the dump site.",,Minimise,
488,Unstropping Hazards,Logs moving,"As logs are dragged in they can twist up and come under tension, which may be released while unstropping, causing log
movement. This movement, even slightly can still jam hands and legs between logs. Look at the drag before jumping to unstrop it.
Stand beside the drag while unstropping instead of on top of it. Watch your co-worker as he carries out the operation. If necessary,
have a machine separate drag before unstropping.",,Isolate,
486,Unstropping Hazards,Machine moving while parked,Drop the blade and put the brake on. Ensure the parking brake is kept in good working order.,,Eliminate,
485,Unstropping Hazards,Rope/chain condition,Wear gloves. Take care. Maintain the rope/chain in good condition.,,Minimise,
123,Visiting Operations,Overhead and machine interaction hazards,Wear all applicable safety gear.,,Minimise,
122,Visiting Operations,Unfamiliarity with roading/logging operations,Take visitors through a safety induction.,,Eliminate,
374,Walking blocks - evaluation,"Old fence lines, entanglement and impalement","Check the block for old fence lines or existing fences that could create problems, especially wire in trees before commencing any
work. Mark these with dazzle paint and on company maps. Avoid felling trees over fences.",,Isolate,
447,Wind throw Hazards,Windblown trees hung up,"These trees are also very hazardous and can put the tree(s) they are hung up in under enormous tension. If any doubt exists do not cut – work either side and leave to be pulled or pushed down with a machine. Notify the boss of person in charge of the area where there is hung up windblown tree(s). If a tree has to be cut, ensure that you have the experience and use correct techniques. Do not be afraid to ask for assistance. When breaking out a hung up tree always ensure that you are well out of the way before giving the signal to move the tree, and be on the alert as more than one tree may be pulled over. Many hazardous situations can occur from trees being under tension, large exposed root plates etc. If any doubt exists do not cut – leave to be pulled out with a machine. Notify the boss or person in charge of the area where there is un-cut windblown tree(s). If a tree has to be cut, then ensure that you have the experience and use correct techniques, or get assistance, do not try to be a hero.",,Eliminate,
446,Wind throw Hazards,Windblown trees on the ground,"Always ensure that the chainsaw you are using, or will use has a suitable length bar that allows you to keep your body well clear ofwood releasing under tension. When breaking out, ensure that you are well out of the way before giving the signal to move awindblown tree.Wind throw creates a very dangerous situation with logs tangled up on the ground and, as a result, under tension and compression,which is often violently released when the logs are cut.Only experienced professional bushmen should be used.Where possible extract wind thrown trees before trimming.",,Eliminate,
19,Wind throw Hazards,Wind throw,Use machines to aid fellers.,,Minimise,
417,Woodlot,Farm buildings,"If any tree is likely to hit any building, then you need to ensure that you take sufficient precautions to prevent it happening e.g. No
person should remain in the building within 2 tree lengths of any tree being felled. Pull trees away from any building with a suitable
machine. Always ensure that the machine and ropes are adequate for the job.",,Eliminate,
414,Woodlot,Fences,"Fence wire can create all sorts of unnecessary hazards. Check the block for old fence lines or existing fences that could create
problems, especially wire in trees before commencing any work. Check the block for old fence lines or existing fences that could
create problems, especially wire in trees before commencing any work. Avoid felling trees over fences. Where possible, remove all
old wire and have any existing fences (or part of) pulled down before felling.",,Isolate,
416,Woodlot,Power and telephone lines,"Check the block before any work commences. Do not work within 4 metres of any power lines unless authorised by the local power
authority. If in doubt have the wires disconnected.",,Isolate,
418,Woodlot,Visitors,"Ensure sufficient signs are put up around the job. Inform the woodlot owner and/or any occupants of the land that they are not to
enter the working area unless authorised by the contractor or his representative.",,Isolate,
415,Woodlot,Water pipes,"Check the block before any work commences. Avoid felling trees over any visual water pipe. Visual water pipes should either be
temporary buried or disconnected.",,Isolate,
354,Working & Driving in dusty conditions,Logging traffic and oversize logging trucks,"Machines to use signage and headlights at all times to warn other road users of their presence on the road. Monitor appropriate
channels. Where possible, remove all old wire and have any existing fences (or part of) pulled down before felling.",,Eliminate,
